datetime,open,high,low,close,volume
2026-07-09 16:18:00+00:00,29903.0,29912.5,29892.5,29896.75,1429
2026-07-09 16:21:00+00:00,29896.25,29910.25,29892.5,29905.25,1241
2026-07-09 16:24:00+00:00,29905.5,29910.25,29895.75,29897.75,1136
2026-07-09 16:27:00+00:00,29897.5,29906.0,29880.75,29890.75,1659
2026-07-09 16:30:00+00:00,29890.5,29912.5,29888.75,29905.25,2060
2026-07-09 16:33:00+00:00,29905.5,29907.0,29871.0,29873.25,1889
2026-07-09 16:36:00+00:00,29873.25,29889.0,29864.0,29883.25,1943
2026-07-09 16:39:00+00:00,29882.25,29912.25,29869.25,29910.75,2363
2026-07-09 16:42:00+00:00,29910.5,29916.5,29905.0,29909.0,1228
2026-07-09 16:45:00+00:00,29908.5,29913.25,29893.75,29893.75,1283
2026-07-09 16:48:00+00:00,29893.5,29905.25,29891.25,29904.75,1075
2026-07-09 16:51:00+00:00,29905.5,29910.0,29900.0,29906.0,806
2026-07-09 16:54:00+00:00,29907.0,29907.5,29897.5,29905.0,826
2026-07-09 16:57:00+00:00,29905.25,29906.75,29885.25,29897.25,1254
2026-07-09 17:00:00+00:00,29897.0,29921.5,29893.5,29920.25,1543
2026-07-09 17:03:00+00:00,29920.5,29923.5,29911.5,29922.0,1073
2026-07-09 17:06:00+00:00,29922.5,29947.25,29917.5,29944.75,4157
2026-07-09 17:09:00+00:00,29944.75,29969.5,29938.5,29965.0,3874
2026-07-09 17:12:00+00:00,29964.75,29964.75,29951.0,29954.25,1415
2026-07-09 17:15:00+00:00,29954.25,29967.75,29954.0,29965.0,1177
2026-07-09 17:18:00+00:00,29965.5,29986.75,29965.25,29983.5,2240
2026-07-09 17:21:00+00:00,29983.75,29989.25,29970.25,29979.5,1510
2026-07-09 17:24:00+00:00,29979.5,29983.0,29975.0,29978.75,1103
2026-07-09 17:27:00+00:00,29979.0,29991.0,29978.5,29988.0,1319
2026-07-09 17:30:00+00:00,29988.75,29993.5,29964.0,29964.75,2078
2026-07-09 17:33:00+00:00,29965.5,29975.0,29962.0,29973.5,1322
2026-07-09 17:36:00+00:00,29973.75,29985.75,29969.75,29971.5,1181
2026-07-09 17:39:00+00:00,29971.0,29977.0,29964.75,29969.0,963
2026-07-09 17:42:00+00:00,29969.25,29979.5,29968.25,29974.5,743
2026-07-09 17:45:00+00:00,29974.75,29991.75,29973.0,29991.75,1108
2026-07-09 17:48:00+00:00,29991.0,29992.25,29978.75,29979.25,895
2026-07-09 17:51:00+00:00,29979.0,29986.25,29977.25,29982.5,729
2026-07-09 17:54:00+00:00,29983.0,29983.0,29973.5,29975.75,756
2026-07-09 17:57:00+00:00,29976.5,29978.75,29950.75,29973.75,2637
2026-07-09 18:00:00+00:00,29974.75,29982.75,29964.0,29966.25,1743
2026-07-09 18:03:00+00:00,29966.5,29977.75,29960.75,29973.0,1196
2026-07-09 18:06:00+00:00,29972.5,29985.0,29972.25,29978.75,1031
2026-07-09 18:09:00+00:00,29979.5,29983.25,29971.75,29974.75,1028
2026-07-09 18:12:00+00:00,29974.5,29980.25,29971.75,29975.5,794
2026-07-09 18:15:00+00:00,29976.5,29981.0,29966.25,29969.5,1035
2026-07-09 18:18:00+00:00,29969.0,29974.5,29959.0,29959.5,1366
2026-07-09 18:21:00+00:00,29959.5,29966.25,29950.0,29952.5,1403
2026-07-09 18:24:00+00:00,29951.75,29958.25,29942.0,29952.75,1903
2026-07-09 18:27:00+00:00,29953.0,29960.5,29945.75,29956.75,1195
2026-07-09 18:30:00+00:00,29957.25,29968.25,29956.5,29961.25,1482
2026-07-09 18:33:00+00:00,29961.5,29966.5,29944.75,29950.5,1156
2026-07-09 18:36:00+00:00,29951.0,29956.75,29946.75,29952.75,967
2026-07-09 18:39:00+00:00,29952.75,29953.75,29939.5,29947.0,1304
2026-07-09 18:42:00+00:00,29946.75,29959.5,29946.5,29958.25,1237
2026-07-09 18:45:00+00:00,29957.25,29965.0,29952.25,29956.5,1205
2026-07-09 18:48:00+00:00,29956.5,29964.0,29954.25,29957.0,778
2026-07-09 18:51:00+00:00,29957.25,29957.75,29945.5,29948.75,1023
2026-07-09 18:54:00+00:00,29948.75,29953.75,29930.0,29938.5,1833
2026-07-09 18:57:00+00:00,29938.5,29944.0,29929.5,29939.25,1581
2026-07-09 19:00:00+00:00,29939.75,29941.5,29911.25,29920.0,2861
2026-07-09 19:03:00+00:00,29920.25,29924.25,29905.25,29917.25,1663
2026-07-09 19:06:00+00:00,29918.5,29936.75,29916.5,29925.25,1861
2026-07-09 19:09:00+00:00,29925.0,29927.5,29912.0,29926.5,1222
2026-07-09 19:12:00+00:00,29926.5,29929.5,29915.5,29916.0,1093
2026-07-09 19:15:00+00:00,29916.5,29937.5,29902.75,29932.5,2468
2026-07-09 19:18:00+00:00,29932.5,29958.25,29930.75,29945.75,1932
2026-07-09 19:21:00+00:00,29945.75,29957.75,29941.5,29950.25,1351
2026-07-09 19:24:00+00:00,29950.25,29951.25,29930.5,29931.25,1657
2026-07-09 19:27:00+00:00,29931.0,29942.25,29928.0,29932.25,1121
2026-07-09 19:30:00+00:00,29932.0,29932.0,29913.25,29918.5,2517
2026-07-09 19:33:00+00:00,29916.75,29929.25,29909.0,29928.25,1698
2026-07-09 19:36:00+00:00,29927.75,29944.25,29927.0,29937.75,1399
2026-07-09 19:39:00+00:00,29937.5,29945.5,29925.75,29934.25,1506
2026-07-09 19:42:00+00:00,29934.5,29945.25,29929.5,29943.25,1336
2026-07-09 19:45:00+00:00,29943.5,29952.25,29936.25,29949.25,1544
2026-07-09 19:48:00+00:00,29949.0,29949.0,29909.0,29922.25,2769
2026-07-09 19:51:00+00:00,29923.0,29930.0,29910.25,29911.5,2833
2026-07-09 19:54:00+00:00,29912.5,29935.5,29896.75,29930.5,4289
2026-07-09 19:57:00+00:00,29930.0,29954.75,29926.75,29948.75,11876
2026-07-09 20:00:00+00:00,29948.75,29962.5,29942.75,29949.0,4659
2026-07-09 20:03:00+00:00,29949.0,29955.25,29944.0,29954.0,990
2026-07-09 20:06:00+00:00,29954.5,29970.75,29954.0,29968.25,1276
2026-07-09 20:09:00+00:00,29969.5,29971.0,29960.5,29967.5,796
2026-07-09 20:12:00+00:00,29967.5,29973.75,29962.5,29966.5,952
2026-07-09 20:15:00+00:00,29967.0,29970.25,29957.5,29961.5,555
2026-07-09 20:18:00+00:00,29961.75,29967.0,29954.5,29965.75,497
2026-07-09 20:21:00+00:00,29965.75,29965.75,29953.25,29954.0,336
2026-07-09 20:24:00+00:00,29953.75,29954.25,29946.75,29948.5,324
2026-07-09 20:27:00+00:00,29948.0,29949.75,29937.0,29940.0,324
2026-07-09 20:30:00+00:00,29939.5,29944.25,29935.0,29944.25,392
2026-07-09 20:33:00+00:00,29943.25,29949.25,29940.5,29943.0,331
2026-07-09 20:36:00+00:00,29942.75,29947.5,29941.25,29942.0,182
2026-07-09 20:39:00+00:00,29942.5,29944.25,29935.25,29935.75,263
2026-07-09 20:42:00+00:00,29936.25,29941.25,29932.0,29934.75,354
2026-07-09 20:45:00+00:00,29935.0,29937.75,29933.25,29935.75,192
2026-07-09 20:48:00+00:00,29935.5,29939.0,29930.5,29931.25,338
2026-07-09 20:51:00+00:00,29932.0,29935.5,29930.25,29932.75,242
2026-07-09 20:54:00+00:00,29932.0,29938.25,29930.75,29938.0,440
2026-07-09 20:57:00+00:00,29938.5,29939.5,29926.25,29931.25,895
2026-07-09 22:00:00+00:00,29937.75,29947.75,29927.0,29929.75,518
2026-07-09 22:03:00+00:00,29928.25,29947.25,29923.5,29936.25,423
2026-07-09 22:06:00+00:00,29935.75,29961.0,29934.25,29946.0,516
2026-07-09 22:09:00+00:00,29945.0,29945.0,29929.75,29934.75,313
2026-07-09 22:12:00+00:00,29935.0,29939.5,29931.0,29936.75,159
2026-07-09 22:15:00+00:00,29938.0,29945.25,29931.25,29939.5,263
2026-07-09 22:18:00+00:00,29938.25,29943.25,29906.75,29910.25,604
2026-07-09 22:21:00+00:00,29914.25,29923.5,29908.25,29918.5,207
2026-07-09 22:24:00+00:00,29920.25,29921.0,29910.0,29912.5,133
2026-07-09 22:27:00+00:00,29910.5,29913.25,29904.0,29907.75,197
2026-07-09 22:30:00+00:00,29908.75,29915.25,29906.25,29911.0,141
2026-07-09 22:33:00+00:00,29909.75,29913.5,29905.5,29908.25,93
2026-07-09 22:36:00+00:00,29910.0,29919.0,29907.25,29912.75,199
2026-07-09 22:39:00+00:00,29913.0,29918.0,29907.25,29918.0,106
2026-07-09 22:42:00+00:00,29919.25,29922.5,29916.5,29920.25,91
2026-07-09 22:45:00+00:00,29921.75,29926.0,29913.25,29915.75,169
2026-07-09 22:48:00+00:00,29913.75,29927.5,29913.5,29923.0,169
2026-07-09 22:51:00+00:00,29922.75,29924.75,29915.75,29916.25,84
2026-07-09 22:54:00+00:00,29916.25,29923.75,29915.5,29921.25,85
2026-07-09 22:57:00+00:00,29920.5,29922.5,29917.75,29922.0,57
2026-07-09 23:00:00+00:00,29921.5,29930.0,29907.0,29911.0,353
2026-07-09 23:03:00+00:00,29912.0,29937.5,29910.0,29936.25,299
2026-07-09 23:06:00+00:00,29937.75,29938.75,29929.25,29934.75,228
